country,code,indicator,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulgaria,BGR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,14,13,12,11,11,11,12,12,12,12,12,12,12,12,12,11,
Burkina Faso,BFA,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,17,17,17,17,17,17,17,17,18,18,18,17,
Burkina Faso,BFA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Burkina Faso,BFA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Burundi,BDI,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Burundi,BDI,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Burundi,BDI,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Cabo Verde,CPV,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,16,17,17,17,17,17,
Cabo Verde,CPV,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Cabo Verde,CPV,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,
Cambodia,KHM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,17,17,17, , , , ,
Cambodia,KHM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,16,16,16,16,16,16,16,
Cambodia,KHM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Cameroon,CMR,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,20,20,18,17,17,17,17,17,17,17,17,17,17,17,
Cameroon,CMR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,
Cameroon,CMR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,18,17,17,17,17,17,17,17,17,17,17,17,17,
Canada,CAN,sp,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Canada,CAN,mdy, , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Canada,CAN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,5,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Cayman Islands,CYM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Cayman Islands,CYM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Cayman Islands,CYM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Central African Republic,CAF,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Central African Republic,CAF,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Central African Republic,CAF,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Chad,TCD,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Chad,TCD,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Chad,TCD,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Channel Islands,CHI,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Channel Islands,CHI,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Channel Islands,CHI,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Chile,CHL,sp, , , , , , , , , , , , , , , , , , , , , , , , ,11,10,10,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,7,7,6,6,6,6,6,7,
Chile,CHL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,6,6,6,5,4,4,4,4,4,4,4,4,
Chile,CHL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,8,8,7,7,7,7,7,7,8,
China,CHN,sp, , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,10,10,11,11,11,11,11,10,9,8,8,7,7,6,6,6,6,6,6,6,7,
China,CHN,mdy, , , , , , , , , , , , , , , , , , , , ,7,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,4,4,4,4,4,4,4,5,
China,CHN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,
Colombia,COL,sp, , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,12,13,14,14,14,14,14,14,14,13,13,13,13,12,12,11,11,11,11,12,
Colombia,COL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10,10,10,12,12,12,12,12,12,12,12,12,11,11,11,10,10,10,9,9,9,9,
Colombia,COL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,12,13,13,14,14,14,14,14,13,13,13,13,12,12,11,11,11,11,11,
Comoros,COM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Comoros,COM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Comoros,COM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Congo, Dem. Rep.",COD,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,18,18,18,19,
"Congo, Dem. Rep.",COD,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,17,17,17,
"Congo, Dem. Rep.",COD,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Congo, Rep.",COG,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,17,18,19,
"Congo, Rep.",COG,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,17,19,
"Congo, Rep.",COG,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,20,23,
Costa Rica,CRI,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,14,14,14,15,15,
Costa Rica,CRI,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,11,11,11,11,10,10,10,10,11,11,11,12,
Costa Rica,CRI,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,14,
Côte d'Ivoire,CIV,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Côte d'Ivoire,CIV,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,13,13,13,
Côte d'Ivoire,CIV,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,16,16,16,
Croatia,HRV,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,12,12,11,11,11,11,11,11,12,12,13,13,14,14,14,14,
Croatia,HRV,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,
Croatia,HRV,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,13,13,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,
Cuba,CUB,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Cuba,CUB,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,
Cuba,CUB,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Curaçao,CUW,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,
Curaçao,CUW,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Curaçao,CUW,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Cyprus,CYP,sp, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,7,8,8,8,8,8,8,8,8,8,7,7,8,11,19,18,16,15,14,13,
Cyprus,CYP,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,6,6,5,4,4,4,10,17,20,17,15,15,13,
Cyprus,CYP,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,7,7,6,6,6,6,11,15,18,18,16,15,14,
Czech Republic,CZE,sp, , , , , , , , , , , , , , , , , , , , , , , , , ,11,10,8,8,8,9,9,9,9,9,9,9,9,9,8,8,8,8,6,6,6,6,6,6,6,
